4 5 1 3 2
7 7 2 7 7
9 8 5 12 11
14 9 8 16 13
18 12 13 18 14
19 16 18 20 17
24 20 20 23 18
26 23 24 28 19
30 25 27 33 20
34 27 30 38 21
38 28 32 43 24
42 31 34 48 25
46 34 35 50 30
47 36 38 55 34
48 39 42 60 36
49 43 47 63 38
53 46 52 64 40
57 47 55 66 45
59 51 60 67 48
61 54 64 68 53
64 56 69 69 57
65 58 72 73 62
70 61 76 75 63
75 64 80 77 64
79 66 83 78 69
83 67 85 81 74
84 69 89 84 79
86 74 90 87 83
87 77 94 89 88
92 80 96 90 92
96 85 99 92 93
97 90 103 95 95
98 95 107 98 97
100 98 112 99 101
101 100 115 103 106
102 103 119 105 111
104 104 124 108 115
108 105 126 113 118
110 106 130 118 121
111 111 133 122 123
113 112 137 127 126
117 117 138 130 128
121 120 139 132 133
124 121 143 134 138
125 126 147 136 141
128 127 152 140 143
129 129 156 145 146
132 131 160 150 147
137 134 164 152 148
140 136 168 153 153
145 138 171 154 157
148 139 173 158 162
151 140 177 160 167
153 144 180 161 172
157 147 182 162 177
161 150 187 164 178
163 154 192 165 181
165 158 197 168 182
167 163 201 171 183
169 167 204 176 184
172 168 208 181 186
177 170 211 185 187
178 172 214 189 192
179 176 219 192 194
181 181 223 195 195
183 185 228 198 196
188 186 232 200 199
193 188 235 201 203
197 189 238 203 208
199 190 243 207 211
203 191 248 210 213
207 192 253 212 216
211 197 256 213 218
214 202 257 215 222
217 204 262 216 226
219 205 266 221 229
223 208 267 226 231
226 212 269 231 232
228 216 272 236 233
231 218 277 240 234
235 219 279 243 239
239 222 280 245 244
243 223 282 248 249
245 224 286 251 254
250 226 289 252 258
253 231 293 254 259
255 236 294 258 262
258 241 298 260 263
259 245 303 263 265
263 248 308 264 267
266 250 312 269 268
268 251 316 274 271
273 252 318 278 274
275 256 323 281 275
277 259 327 282 280
282 261 330 283 284
287 265 331 285 287
289 269 332 290 290
293 272 334 295 291
297 277 335 298 293
300 281 336 303 295
302 284 337 308 299
304 288 340 313 300
308 291 345 315 301
311 293 350 316 305
312 298 353 318 309
313 300 358 322 312
318 301 362 324 315
320 306 366 325 318
321 308 370 330 321
324 310 371 334 326
325 312 375 337 331
330 315 379 338 333
335 316 381 341 337
340 319 383 345 338
343 324 384 349 340
345 327 389 353 341
346 331 392 358 343
348 336 395 362 344
353 338 399 365 345
358 340 403 366 348
362 341 408 369 350
365 346 410 373 351
366 350 413 378 353
367 354 416 383 355
368 357 418 387 360
373 360 419 389 364
377 363 421 394 365
380 365 425 399 366
381 370 427 403 369
386 372 428 406 373
390 375 429 408 378
393 377 430 412 383
394 379 434 415 388
397 381 435 419 393
398 383 440 423 396
402 384 443 428 398
407 386 447 431 399
412 390 449 434 400
417 394 452 436 401
422 397 454 437 405
426 400 459 439 406
429 404 464 440 408
434 408 465 443 410
439 411 466 447 412
443 412 471 450 414
447 415 476 451 416
449 419 481 454 417
451 423 482 457 422
454 425 483 461 427
456 426 486 465 432
457 429 488 470 436
459 433 491 471 441
463 436 493 472 446
467 438 494 477 449
471 439 497 482 451
473 442 501 487 452
474 445 505 489 457
477 450 506 491 461
479 455 510 492 464
481 460 513 496 465
482 465 515 500 468
483 468 517 504 473
485 472 518 507 478
489 473 520 510 483
490 476 525 512 487
492 480 530 513 490
493 485 533 515 494
494 490 536 517 498
495 495 540 520 500
498 500 544 522 501
499 503 548 527 503
500 508 552 530 505
502 513 553 534 508
507 517 554 537 510
511 520 555 542 512
516 522 556 546 515
520 524 557 549 520
525 527 558 553 522
529 528 561 558 524
531 532 564 563 525
536 533 568 565 528
540 538 571 566 530
545 541 575 567 532
550 544 579 568 534
554 546 582 573 535
557 551 584 577 536
559 556 585 580 540
560 561 588 582 544
561 566 590 585 548
562 569 594 587 553
